I,Q
3.757179024202516038e-01,-1.373947800559455201e-01
3.119380487429190829e-01,-1.638827764411803778e-01
-2.617009054384274447e-01,4.051886642503196856e-02
-1.243726874015393946e-01,-8.188343577564423381e-02
2.517298736809799320e-01,-6.542764298477905804e-02
-1.254207600635032227e-01,1.834242926537178048e-02
-2.459882914356080752e-01,2.925437035179272866e-02
-1.971761930892060033e-01,-3.520150005246729108e-02
-3.106331353867912703e-01,-7.720732386613391590e-03
-3.498157336633037628e-01,2.377481397091384813e-02
-2.595328811781292266e-01,-1.608812161409011940e-02
-3.863621353729972396e-01,4.272518258325187779e-02
-4.018197381496135812e-01,-6.225870199374279775e-03
-3.601249946440484573e-01,-8.036395197859255712e-02
-5.899719861283476696e-01,9.326616283598153367e-02
-4.202272803908760346e-01,-1.407561658678187916e-02
-3.715329096247682039e-01,-1.327520328809938255e-01
-5.811095356592778094e-01,-1.387090686260811223e-01
-7.098062573261079145e-01,3.635103678113148912e-02
-7.318772779412037188e-01,7.044956036586370873e-02
-4.958697842599030792e-01,9.746425210657144039e-03
-3.743286629760345097e-01,-3.547142236193890057e-03
-4.234114008837635001e-01,1.341295666051884050e-01
-4.672499458159686259e-01,-7.789864075486231665e-02
-2.424093714112460773e-01,5.185207341203319081e-02
-1.512261011352087348e-01,-3.121347106378275643e-02
-1.537453879168071968e-01,1.055716600162226598e-01
-1.441846685470270506e-01,-3.133104799682587260e-02
-1.870754756160128707e-01,-2.012252372199872449e-02
-1.953926160210335550e-01,8.192044360707341488e-03
-2.125386046780913807e-01,-3.313400593099713638e-03
-3.736176132235527469e-01,1.861860632392286358e-02
-2.635206666916508622e-01,-1.571177716487536652e-02
-3.727265292233618021e-01,4.711198647371878795e-02
-3.976778835049341598e-01,-1.180267693163025294e-01
-4.418887788793961491e-01,6.876171538593262023e-02
-5.183823187219135376e-01,6.161037762470536472e-02
-3.964861072119390539e-01,2.434607862915787874e-02
-3.443121945250464111e-01,-1.090315300955398137e-01
-5.577716241743302383e-01,-9.634704071104285839e-02
-5.891844048637170372e-01,4.186460432815033300e-02
-6.401747487585816021e-01,3.739525915688213936e-02
-6.442112937197630451e-01,-7.301907274997868069e-02
-3.729241758028104536e-01,-1.166667047803088622e-02
-4.323707742537585830e-01,1.185409739967913656e-01
-4.797932481621297596e-01,-3.338733507228104636e-02
-2.339860401839451709e-01,-3.693586848607118694e-02
-1.283464940186370695e-01,-3.350381888012290282e-02
-2.221992571075850631e-01,2.396886099550177285e-02
-1.342465877547668329e-01,-4.683437072050566224e-02
-1.610346867981412300e-01,1.000980893601704884e-02
-2.171977151145375873e-01,1.478305157351780634e-02
-2.142240656127267495e-01,5.038432924625268344e-02
-3.512136209835401424e-01,6.741129521432666361e-02
-2.817706670767898824e-01,-3.074274874797718049e-02
-3.051854270298887672e-01,1.159905710247235121e-02
-4.619471617877473624e-01,-1.061140216880720466e-01
2.875711283065142676e-01,-8.097778806885065628e-02
-4.483667767361854128e-01,7.098610879185100362e-04
-3.864809397024680515e-01,-1.615184257100067688e-01
-2.271388149545475466e-01,-3.641833009496873302e-02
-2.959630444863011745e-01,1.968335062648969291e-01
-5.254948597781912145e-01,2.618082504773903280e-02
-7.215168628467943934e-01,-1.277694478431352053e-02
-5.202108430870480138e-01,-6.661938171813355791e-02
-3.587497180805063191e-01,-3.212004667758692339e-02
-3.755115169794598917e-01,-1.782093876274555289e-01
-4.738177484956904717e-01,6.646990795920461326e-02
-2.165169130820067678e-01,-2.829700959746835054e-02
-1.426297224210692771e-01,-2.721082968464986346e-02
-2.044786762481086151e-01,-1.632077101677546771e-02
-9.332429194377372950e-02,-7.301451714644828506e-02
-1.591539787604462908e-01,5.188700271832544925e-02
-2.534260349665330425e-01,-1.353210789852217141e-03
-2.295492540430025541e-01,-4.605142958844628265e-02
2.170204881434548427e-01,-1.191821129672217816e-01
-3.065880893663019968e-01,-3.922289503171048214e-02
-2.306320755156853475e-01,-2.110583810378071842e-02
4.650050815303795049e-01,9.391826704736914999e-02
-3.334648754039428731e-01,2.021931425799217803e-04
-3.868098019308247593e-01,1.200714392474843267e-01
5.222380391095207131e-01,1.241682128333111562e-01
-2.169665498898939726e-01,-3.955854399558124401e-02
-3.734993453728381319e-01,5.452991918310585301e-02
4.144301976155078671e-01,-6.283994054803768159e-02
-6.460760487986373368e-01,9.497355454174211120e-03
-7.070949274854698707e-01,1.431528982478224021e-01
-3.466780782180088893e-01,1.212514977491704719e-02
-3.917731588567809342e-01,-1.170686489268635694e-01
-4.491269139723472748e-01,9.764784896459226260e-02
3.205611294565077207e-01,4.635230653600907504e-03
-2.391424273699242486e-01,-2.226667216427272254e-03
-1.957859239777595406e-01,-2.909098220729918870e-03
-1.802122550194029393e-01,-6.465342331974534285e-02
-1.385195897022681866e-01,2.953595445163094066e-02
-2.074419848944409617e-01,7.477427252436309735e-02
-2.229843738157739896e-01,1.853348398472769859e-02
-3.260501085970798352e-01,-3.448838268351497871e-02
-3.541296093129942535e-01,4.567224057471190590e-02
-2.735470793469406137e-01,-4.355110295723311001e-03
-3.991434499687518955e-01,-5.502824249134327661e-02
-3.774685590846848515e-01,7.630106930190840020e-02
-3.753506195858377636e-01,-9.026565826929598690e-02
-4.697165922110627667e-01,-5.565270901767271211e-02
-3.431862669979466318e-01,-7.437829895767968102e-02
-3.896848112349989846e-01,1.774355451244397641e-01
-5.268949812214683837e-01,2.009720829794127764e-02
-6.487914491128982108e-01,2.051145788526957323e-02
-7.690841661295028109e-01,1.096733280399136007e-01
-5.034823177549477835e-01,8.440035855998273551e-02
-3.112428888832193818e-01,3.885662461053054212e-02
-4.579398514245034968e-01,9.036863219961034643e-02
-3.516492331808181993e-01,-1.579382496714608689e-02
-2.520230850285272162e-01,3.608256894376229984e-02
-1.677491378628431506e-01,-6.091283984803230050e-02
-2.589268402279865100e-01,1.229444760601475367e-01
-1.618070412107030787e-01,-4.202665417688293548e-02
-1.723573289975768863e-01,1.489301367693613917e-02
-1.911694148178113006e-01,-3.912429718862080880e-02
-2.750761190044508364e-01,1.397750110700367483e-02
-3.434439742349900682e-01,-4.411605392299688261e-02
-2.754711088211896919e-01,-1.143022316365267625e-02
3.289377967801863645e-01,-1.272568410188381627e-01
3.822985378707087212e-01,2.114640822593096547e-01
-3.886772182938689202e-01,-3.974396523639617956e-02
3.871653627579664247e-01,-5.099928042825767338e-02
-3.240568653842765268e-01,-4.148951030971984033e-02
-3.190121822793091644e-01,-1.084411132958610774e-01
-4.850867449810427057e-01,-1.467749757631101326e-01
-4.752353714711435861e-01,1.323453778000666381e-01
-6.543053872398517656e-01,3.529050157861916143e-02
-4.658206347616634102e-01,-1.586262735729934703e-01
-3.251913612632317263e-01,-3.033749314481083009e-02
4.197905661845595660e-01,-1.239431767283680486e-01
-5.443438769664262766e-01,-5.984658395138084397e-02
-2.077943950736506618e-01,-1.674813525598014760e-02
1.119137604345185472e-01,7.020582109148727767e-02
1.473361985298864418e-01,-5.205047505757387505e-02
-1.311936868951939228e-01,-1.227539088991894123e-02
-2.087278349732376581e-01,-1.217762384576559845e-02
-2.316557875537166855e-01,-1.686633834010290572e-02
-2.233426948578997040e-01,3.304839448456596464e-03
-3.685028436789457018e-01,3.539763519740142528e-02
-2.678984039556505103e-01,-2.963092539505472398e-02
-3.758338901864790027e-01,4.445925397885858860e-02
-4.179817852028422376e-01,-1.866315502353008415e-01
-4.670264866635293610e-01,6.314921939686696239e-02
-5.215681582067811517e-01,5.685254980150437204e-02
-4.124546402786285482e-01,-9.811476269556450303e-02
-3.756560536888067792e-01,-1.075808185057890443e-01
-5.483002542011460312e-01,-9.177643635886065243e-02
-5.983599994780989251e-01,6.451493169647197490e-02
-6.453458664073326023e-01,4.989369017150647317e-02
-6.375500733813158627e-01,-8.626399109150566236e-02
-3.730922022317753606e-01,8.303188563018254476e-02
-4.280841864382402551e-01,1.480407151778680708e-01
