Frequency,Power
2.268833087149187477e+01,3.165141678728357633e+01
2.277695716395864167e+01,2.706954995299314760e+03
2.286558345642540502e+01,5.492293896340743231e+02
2.295420974889217192e+01,3.283978549446114243e+02
2.304283604135893526e+01,5.459373780814523798e+02
2.313146233382570216e+01,6.892415133563499694e+02
2.322008862629246551e+01,4.161114693597287442e+02
2.330871491875923240e+01,6.983381763548380832e+02
2.339734121122599575e+01,6.172400639016262858e+02
2.348596750369276265e+01,5.374296333775640733e+02
2.357459379615952599e+01,7.157645451770960108e+02
2.366322008862629289e+01,1.001034962422010608e+03
2.375184638109305624e+01,2.645278713259275264e+03
2.384047267355982314e+01,3.153223008716960294e+02
2.392909896602658648e+01,4.735132561371972884e+02
2.401772525849335338e+01,3.385248316319955393e+02
2.410635155096011673e+01,9.703285126979866391e+02
2.419497784342688362e+01,1.511814610903683729e+02
2.428360413589364697e+01,4.978764228548679398e+02
2.437223042836041387e+01,5.463206741742291115e+02
2.446085672082717721e+01,4.405714631151810181e+02
2.454948301329394411e+01,4.013705454533873080e+02
2.463810930576070746e+01,1.839111672365834693e+03
2.472673559822747436e+01,1.887239196010329351e+03
2.481536189069423770e+01,5.165169740507404867e+02
2.490398818316100460e+01,7.693748130087288928e+02
2.499261447562776794e+01,1.985111471647778671e+02
2.508124076809453484e+01,3.962810550025171779e+02
2.516986706056129819e+01,3.613401789222678531e+02
2.525849335302806509e+01,7.721610506604125135e+01
2.534711964549482843e+01,2.904192298497056299e+02
2.543574593796159533e+01,1.016500416865984420e+02
2.552437223042835868e+01,4.682256536324375134e+02
2.561299852289512557e+01,1.841420366890994728e+03
2.570162481536188892e+01,1.896420761952795431e+02
2.579025110782865582e+01,5.241369420554535736e+02
2.587887740029541916e+01,6.676005961477486039e+01
2.596750369276218606e+01,5.009219264841921699e+02
2.605612998522894941e+01,8.672807703508327677e+02
2.614475627769571631e+01,4.780638875609406568e+02
2.623338257016247965e+01,5.748297306525146269e+02
2.632200886262924655e+01,3.694769804664056778e+02
2.641063515509600990e+01,8.445899645325197298e+02
2.649926144756277679e+01,7.986225320183469876e+02
2.658788774002954014e+01,1.591289065951946895e+03
2.667651403249630704e+01,2.855818331642328758e+02
2.676514032496307038e+01,3.333222645913943438e+02
2.685376661742983728e+01,5.671196111037540959e+02
2.694239290989660063e+01,1.644137572750270238e+02
2.703101920236336753e+01,2.143992640072054314e+02
2.711964549483013087e+01,4.182751335357941684e+02
2.720827178729689777e+01,1.847655175084677808e+02
2.729689807976366112e+01,1.152452243427862584e+02
2.738552437223042801e+01,1.233531840221014164e+02
2.747415066469719136e+01,1.222600646800228787e+03
2.756277695716395826e+01,1.353711307710711026e+03
2.765140324963072160e+01,2.222979464558383711e+02
2.774002954209748850e+01,2.969687252238962856e+02
2.782865583456425185e+01,2.429438105052613537e+02
2.791728212703101875e+01,5.862304108955710262e+02
2.800590841949778209e+01,4.422818652084949349e+02
2.809453471196454899e+01,4.021371441342920434e+02
2.818316100443131234e+01,6.231561067370193996e+02
2.827178729689807923e+01,4.635044711303107761e+02
2.836041358936484258e+01,1.379655446938927241e+02
2.844903988183160948e+01,5.863069772097519490e+02
2.853766617429837282e+01,1.173054361525971217e+03
2.862629246676513972e+01,1.105897911455015674e+03
2.871491875923190307e+01,4.377201200766479587e+02
2.880354505169866997e+01,2.858175312798544496e+02
2.889217134416543331e+01,2.931020948511107918e+02
2.898079763663220021e+01,3.572439874833044087e+02
2.906942392909896355e+01,4.720448852206555443e+02
2.915805022156573045e+01,9.030333963402334518e+01
2.924667651403249380e+01,8.555805623138827798e+01
2.933530280649926070e+01,1.787286615631847440e+02
2.942392909896602404e+01,8.136007297265763327e+02
2.951255539143279094e+01,4.574329527190914177e+02
2.960118168389955429e+01,1.181517966625986844e+02
2.968980797636632118e+01,2.680015656078529673e+02
2.977843426883308453e+01,1.325461102914844105e+02
2.986706056129985143e+01,2.715464459084034843e+02
2.995568685376661477e+01,1.299384821279907669e+02
3.004431314623338167e+01,1.992239242982544454e+02
3.013293943870014502e+01,2.929573474023879243e+01
3.022156573116691192e+01,1.027195857288646721e+03
3.031019202363367526e+01,3.085676124048111433e+02
3.039881831610044216e+01,1.008107985018487625e+03
3.048744460856720551e+01,5.354113367671067181e+02
3.057607090103397240e+01,3.480417861252663556e+02
3.066469719350073575e+01,4.472057214563729985e+02
3.075332348596750265e+01,1.944238040683554232e+02
3.084194977843426599e+01,2.972353748841599099e+02
3.093057607090103289e+01,3.650423451033576043e+02
3.101920236336779624e+01,2.018748978419162370e+02
3.110782865583456314e+01,4.638511725705320146e+02
3.119645494830132648e+01,1.988747668633929209e+02
3.128508124076809338e+01,9.532699690081425388e+02
3.137370753323485673e+01,5.127067413695459663e+02
3.146233382570162362e+01,8.111863686350046692e+02
3.155096011816838697e+01,1.057647793339511054e+03
3.163958641063515387e+01,3.482122154747090121e+02
3.172821270310191721e+01,1.975918975592412608e+02
3.181683899556868411e+01,7.481920173488688306e+02
3.190546528803544746e+01,2.956588652836181268e+02
3.199409158050221436e+01,6.093124672676345881e+02
3.208271787296897770e+01,5.455109937332603067e+02
3.217134416543574105e+01,2.104408795804227452e+02
3.225997045790251150e+01,4.264579680445500571e+02
3.234859675036927484e+01,3.358255135577604165e+02
3.243722304283603819e+01,3.126982331445603904e+02
3.252584933530280153e+01,8.428696334872415719e+01
3.261447562776957199e+01,3.283055675529003565e+02
3.270310192023633533e+01,1.484912376039034996e+02
3.279172821270309868e+01,3.171827635269327175e+02
3.288035450516986202e+01,1.840811650296951143e+02
3.296898079763663247e+01,2.628366173694359418e+02
3.305760709010339582e+01,2.212850470030030010e+02
3.314623338257015916e+01,3.529920147515520625e+02
3.323485967503692251e+01,7.646416899668918177e+02
3.332348596750369296e+01,1.880448896780445693e+02
3.341211225997045631e+01,1.653475459313027613e+02
3.350073855243721965e+01,1.548065418970857934e+02
